"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.44341520736685e-08,0.535266907091239,0.387,0.175,0.00118756634891615,"17","POLR2L1"
8.60476856775898e-08,0.748220415072199,0.339,0.15,0.0012102606990553,"17","PSMC41"
8.77246002116863e-08,0.659870291397083,0.145,0.043,0.00123384650197737,"17","DDX1"
8.89036575216107e-08,1.43765398382506,0.145,0.045,0.00125042994304145,"17","PRKCD1"
8.90654710732914e-08,1.15699380136169,0.105,0.026,0.00125270585064584,"17","NIT2"
9.33665713537944e-08,0.900374892680645,0.331,0.146,0.00131320082609112,"17","TSG1011"
9.41499204322405e-08,0.530775086534707,0.339,0.146,0.00132421863087946,"17","BBX"
9.46661079308304e-08,0.708479735067183,0.242,0.093,0.00133147880804713,"17","PQBP1"
9.59170289135775e-08,0.638682596404379,0.274,0.11,0.00134907301166947,"17","PSMD2"
9.60777065212568e-08,1.61503771859475,0.113,0.03,0.00135133294222148,"17","NCSTN"
9.81239326948405e-08,0.715341628055329,0.323,0.141,0.00138011311335293,"17","TMEM165"
9.93560002702779e-08,0.604570605373792,0.339,0.147,0.00139744214380146,"17","MRPS18C1"
1.01256464393861e-07,0.550240662567372,0.597,0.323,0.00142417217169966,"17","COX5B"
1.016346015407e-07,0.862528839130566,0.177,0.059,0.00142949067066994,"17","PTRHD1"
1.02365496953982e-07,0.998438507709729,0.274,0.116,0.00143977071465776,"17","SCARB22"
1.04031270003001e-07,0.501725802972223,0.218,0.078,0.00146319981259221,"17","ANAPC5"
1.08839855015966e-07,0.496761004158989,0.226,0.083,0.00153083256079956,"17","PPHLN11"
1.10622294110444e-07,1.02350674392782,0.137,0.04,0.00155590256666339,"17","STAT6"
1.11436342267691e-07,0.96898825488958,0.153,0.048,0.00156735215399508,"17","HECTD1"
1.14882863568794e-07,1.84616597042232,0.121,0.034,0.00161582747609509,"17","TMEM106A1"
1.16093623186739e-07,1.72606031582376,0.105,0.027,0.00163285681012148,"17","PTGIR"
1.18126311241435e-07,0.908734439566678,0.153,0.048,0.00166144656761078,"17","GNL2"
1.20405817767974e-07,1.26266485227453,0.105,0.027,0.00169350782690655,"17","FBXL12"
1.21960352542875e-07,0.281976337482006,0.315,0.132,0.00171537235851554,"17","PMAIP11"
1.22045087145072e-07,0.705566580384055,0.25,0.098,0.00171656415069543,"17","DCTN3"
1.23617592876007e-07,0.903223305440748,0.315,0.14,0.00173868144380104,"17","LGALS92"
1.24240026320235e-07,1.51341756423069,0.121,0.034,0.0017474359701941,"17","JKAMP"
1.30084500530253e-07,1.0760988120439,0.129,0.037,0.00182963849995801,"17","COQ4"
1.32282786107982e-07,0.969991816812629,0.145,0.044,0.00186055738660877,"17","ETNK1"
1.33514087529668e-07,0.898700431773493,0.145,0.044,0.00187787564110478,"17","ANP32E"
1.34159305234304e-07,0.659768950248633,0.282,0.118,0.00188695062812049,"17","DERL1"
1.3625608979531e-07,0.68545727404576,0.266,0.107,0.00191644190297103,"17","XRN2"
1.3987254297444e-07,1.13733299654314,0.105,0.027,0.0019673073169355,"17","PEX13"
1.45407097843412e-07,0.901286847716796,0.153,0.048,0.00204515083116759,"17","C1orf131"
1.45764874488537e-07,0.967810579725291,0.161,0.052,0.00205018295968127,"17","DNMT1"
1.47451419544882e-07,0.598971867712051,0.153,0.047,0.00207390421589877,"17","RANGRF"
1.48421280324898e-07,0.45428601871393,0.323,0.137,0.00208754530776969,"17","SNRPC1"
1.4905777763163e-07,1.03440425008146,0.161,0.052,0.00209649764238888,"17","JPX"
1.49551477838339e-07,0.485803576033958,0.484,0.238,0.00210344153579624,"17","GRB22"
1.50903349316732e-07,1.27340415825123,0.137,0.041,0.00212245560813983,"17","DUSP22"
1.51074576754866e-07,0.545929085856247,0.331,0.146,0.00212486392205719,"17","TCP11"
1.518226720652e-07,0.526416959937382,0.169,0.055,0.00213538588259703,"17","CFAP298"
1.52593317333359e-07,0.563648846402746,0.161,0.051,0.0021462250082937,"17","SMIM20"
1.57159263052571e-07,0.64092455158154,0.177,0.059,0.00221044503483442,"17","COA4"
1.57746630653925e-07,0.818774976713595,0.25,0.099,0.00221870636014745,"17","DNAJB92"
1.58788654394506e-07,0.763139105434685,0.177,0.06,0.00223336242405872,"17","MGAT2"
1.59079064513326e-07,1.70289567530965,0.121,0.035,0.00223744704237993,"17","AHNAK"
1.61409201797634e-07,0.76419032185053,0.137,0.04,0.00227022042328372,"17","ESF1"
1.66874202001211e-07,0.683286512990715,0.435,0.21,0.00234708565114703,"17","SDHC"
1.68980305071074e-07,0.673805112898762,0.242,0.094,0.00237670799082466,"17","FIBP1"
1.71066304691493e-07,0.455746234178681,0.597,0.317,0.00240604757548584,"17","ATP5PO"
1.7619135300342e-07,0.502531052821024,0.21,0.075,0.0024781313799931,"17","TMX2"
1.77914930870223e-07,1.11885393581586,0.145,0.045,0.00250237350268968,"17","VPS72"
1.79235009391877e-07,0.942941119983722,0.137,0.041,0.00252094040709674,"17","ABCE1"
