"rank","gene"
512,"MRPS23"
513,"GABPB1-AS1"
514,"CEBPB"
515,"SLC25A37"
516,"ZNF22"
517,"CCT4"
518,"CPNE1"
519,"SMIM20"
520,"ZNRD1"
521,"ARID4B"
522,"KIF2A"
523,"CCDC12"
524,"KMT2E"
525,"ODF2L"
526,"ICAM2"
527,"APEX1"
528,"HVCN1"
529,"BRIX1"
530,"CAMK4"
531,"AKAP9"
532,"MT-ND6"
533,"CKS1B"
534,"STRAP"
535,"PDCL3"
536,"SRSF11"
537,"HTATSF1"
538,"LINC00623"
539,"NBDY"
540,"GOLT1B"
541,"PPIG"
542,"EIF5A"
543,"SIKE1"
544,"EPB41"
545,"MED30"
546,"RSL24D1"
547,"ABI3"
548,"NHP2"
549,"NGDN"
550,"NUDT5"
551,"CDK2AP2"
552,"MRPL34"
553,"EIF4EBP1"
554,"RPS15A"
555,"RPS5"
556,"SEPT1"
557,"EIF5B"
558,"USP47"
559,"NARS"
560,"MOB4"
561,"CYCS"
562,"SNRPN"
563,"CPNE3"
564,"KLF10"
565,"GGA2"
566,"NUCKS1"
567,"TAF7"
568,"MALAT1"
569,"ERLEC1"
570,"ADK"
571,"MZT1"
572,"LBR"
573,"CD68"
574,"PITPNC1"
575,"POLR2C"
576,"ITGB1"
577,"WDR61"
578,"RPS27A"
579,"CDC40"
580,"CUTC"
581,"TERF1"
582,"MRPL1"
583,"ATF4"
584,"IQGAP2"
585,"BNIP2"
586,"MPHOSPH8"
587,"CEBPZ"
588,"MZT2A"
589,"THUMPD3-AS1"
590,"CMTM7"
591,"CKLF"
592,"RAC2"
593,"AC025164.1"
594,"PTP4A1"
595,"ZFP36"
596,"ANAPC5"
597,"TGIF1"
598,"PRNP"
599,"CKS2"
600,"RSL1D1"
601,"ARL2BP"
602,"EIF1"
603,"TMEM109"
604,"NOP56"
605,"AC245297.3"
606,"TMEM126B"
607,"BUD23"
608,"PPT1"
609,"RANBP1"
610,"IFIT3"
611,"SEPT6"
612,"RNASEH2B"
613,"IMPDH2"
614,"SNX9"
615,"FCMR"
616,"RCAN3"
617,"POLR3GL"
618,"ATM"
619,"PAXX"
620,"ZNF281"
621,"AC133644.2"
622,"ADI1"
623,"ZC3H13"
624,"C1QBP"
625,"GLO1"
626,"TPR"
627,"VIM"
628,"PRKX"
629,"NCBP2"
630,"CAPG"
631,"HLA-B"
632,"DPY30"
633,"ERP29"
634,"RILPL2"
635,"ANP32B"
636,"ARHGAP9"
637,"FOXP1"
638,"TMX2"
639,"LIMS1"
640,"EIF3E"
641,"EVI2A"
642,"RPS27"
643,"CHPT1"
644,"CUTA"
645,"EXOSC1"
646,"TBCC"
647,"PNISR"
648,"C12orf65"
649,"GLRX"
650,"THBS1"
651,"HOXB2"
652,"TNFRSF25"
653,"PPIE"
654,"ABI1"
655,"SPI1"
656,"VAMP2"
657,"SNRPC"
658,"CMPK1"
659,"KLHDC2"
660,"TIMM17A"
661,"PHF14"
662,"SLA2"
663,"LGMN"
664,"DYNLT3"
665,"PRDX2"
666,"WTAP"
667,"TNFAIP3"
668,"TMF1"
669,"YY1"
670,"ISG20"
671,"MBD4"
672,"MFNG"
673,"PPP1R10"
674,"IVNS1ABP"
675,"UPP1"
676,"C1orf52"
677,"DCXR"
678,"SINHCAF"
679,"GADD45G"
680,"JMJD6"
681,"SYAP1"
682,"BID"
683,"G3BP2"
684,"OCIAD1"
685,"SMIM19"
686,"EEF1E1"
687,"ZNF428"
688,"DDOST"
689,"FAM107B"
690,"CYB5B"
691,"LIMD2"
692,"SERBP1"
693,"POLR2K"
694,"RPL7L1"
695,"AC004687.1"
696,"CDC37L1"
697,"SARAF"
698,"AHSA1"
699,"FASLG"
700,"ALDH9A1"
701,"PHB"
702,"RSBN1L"
703,"PDHB"
704,"EIF5"
705,"RANGRF"
706,"CYBC1"
707,"DDX21"
708,"TBC1D10C"
709,"CORO1A"
710,"KRAS"
