"rank","gene"
2670,"SLC7A11"
2671,"SLC35B3"
2672,"MRPL58"
2673,"CAST"
2674,"AC093673.1"
2675,"P2RY6"
2676,"ENOPH1"
2677,"GAPT"
2678,"RHOC"
2679,"IFNAR1"
2680,"LMBRD1"
2681,"TMIGD2"
2682,"PHF3"
2683,"TRMT6"
2684,"ATXN7L3B"
2685,"CHTF8"
2686,"PNP"
2687,"RPL4"
2688,"PGRMC1"
2689,"UBE2L6"
2690,"RCBTB2"
2691,"YEATS4"
2692,"NME3"
2693,"RNFT1"
2694,"SAMD9L"
2695,"IGLL5"
2696,"FKBP2"
2697,"XPOT"
2698,"RAD51C"
2699,"HPS4"
2700,"PRKD2"
2701,"IRF7"
2702,"RNF130"
2703,"NAPA"
2704,"PSMB9"
2705,"BST2"
2706,"PGAP1"
2707,"DNAAF2"
2708,"COMMD8"
2709,"CD164"
2710,"UAP1"
2711,"PSME2"
2712,"MTSS1"
2713,"ZRSR2"
2714,"FBLN7"
2715,"CDIPT"
2716,"VEZF1"
2717,"CASP1"
2718,"AC073111.5"
2719,"HELB"
2720,"HMGXB4"
2721,"PTGER2"
2722,"UPF3A"
2723,"CTDSP2"
2724,"HSH2D"
2725,"DTX3L"
2726,"DUSP12"
2727,"DDX60"
2728,"SH3GLB1"
2729,"CLUAP1"
2730,"SMNDC1"
2731,"NEMF"
2732,"C1GALT1"
2733,"AZI2"
2734,"QPCT"
2735,"SMIM30"
2736,"UBAC1"
2737,"LCP1"
2738,"NABP2"
2739,"LINS1"
2740,"NUP62"
2741,"IL4R"
2742,"RASSF1"
2743,"EAF2"
2744,"DDX1"
2745,"SUN2"
2746,"TNFRSF1B"
2747,"IL19"
2748,"RAB29"
2749,"CSTF1"
2750,"NUTM2B-AS1"
2751,"CYP27A1"
2752,"GPAT3"
2753,"ACOT9"
2754,"ATF5"
2755,"TMEM14C"
2756,"ACTR10"
2757,"PDE3B"
2758,"PLPP5"
2759,"PPM1N"
2760,"PUM1"
2761,"WDR73"
2762,"BABAM2"
2763,"LDLRAP1"
2764,"TYW3"
2765,"EXOC5"
2766,"DDX5"
2767,"FRA10AC1"
2768,"TARS"
2769,"LNPEP"
2770,"ADAR"
2771,"IFIT5"
2772,"C16orf91"
2773,"FSCN1"
2774,"NRGN"
2775,"RPL35A"
2776,"B3GNT2"
2777,"GK"
2778,"CD53"
2779,"ACTR6"
2780,"TSPO"
2781,"TAP1"
2782,"ATP2B1-AS1"
2783,"DNAJB2"
2784,"LINC02446"
2785,"CXorf38"
2786,"MTMR14"
2787,"ZNF131"
2788,"SLC9A3R1"
2789,"GAR1"
2790,"AGO2"
2791,"GTF3C6"
2792,"NDUFA2"
2793,"RPL15"
2794,"ARL4A"
2795,"TCF4"
2796,"THAP2"
2797,"MLF2"
2798,"HS3ST1"
2799,"HLA-C"
2800,"VMA21"
2801,"UTP6"
2802,"B3GALT4"
2803,"CCR1"
2804,"KRCC1"
2805,"GTF3C1"
2806,"NOL11"
2807,"TBCD"
2808,"USP30-AS1"
2809,"SELENOM"
2810,"SLC11A1"
2811,"CWC22"
2812,"HERC6"
2813,"DUSP5"
2814,"PSAT1"
2815,"POLR2L"
2816,"TMPO"
2817,"RUFY1"
2818,"DNAAF1"
2819,"VPS37A"
2820,"MCUB"
2821,"SRFBP1"
2822,"GMFG"
2823,"PARP9"
2824,"ST3GAL5"
2825,"MFSD8"
2826,"ARHGEF3"
2827,"HSD17B12"
2828,"JOSD1"
2829,"IRAK4"
2830,"UQCC3"
2831,"LINC00861"
2832,"MYL12A"
2833,"GNPDA1"
2834,"UBALD2"
2835,"SRA1"
2836,"BEX2"
2837,"POLR1C"
2838,"TES"
2839,"STOM"
2840,"BAG3"
2841,"HERPUD2"
2842,"SF3B4"
2843,"NOA1"
2844,"SNAP29"
2845,"PYCARD"
2846,"PTCRA"
2847,"STMN3"
2848,"MRPL42"
2849,"NUBP1"
2850,"ZNF638"
2851,"SYNJ2BP"
2852,"TRGC1"
2853,"FCGR3B"
2854,"PDE4D"
2855,"TIA1"
2856,"NECAP1"
2857,"C2orf49"
2858,"SAE1"
2859,"COPB2"
2860,"HMCES"
2861,"CNP"
2862,"DENND1B"
2863,"MYL6"
2864,"HAUS3"
2865,"SLC35B1"
2866,"MGAT2"
2867,"ZSWIM7"
2868,"TRADD"
2869,"LAP3"
2870,"TM9SF2"
2871,"SNF8"
2872,"DYNC1LI1"
2873,"SLC39A3"
2874,"AC100810.1"
2875,"MMD"
2876,"SF3B3"
2877,"LASP1"
2878,"ACYP2"
2879,"ADAMDEC1"
2880,"TAPBP"
2881,"ITFG1"
2882,"C8orf76"
2883,"EHD4"
2884,"STX11"
2885,"HDDC3"
2886,"IL3RA"
2887,"EPSTI1"
2888,"IFNGR1"
2889,"TRIM21"
2890,"SAMHD1"
2891,"PSMG3"
2892,"UQCRFS1"
2893,"SNCA"
2894,"DPH3"
2895,"RAMMET"
2896,"MAL"
2897,"UQCRB"
2898,"TIMM8B"
2899,"GIT2"
2900,"SLC38A5"
2901,"ORC4"
2902,"UBL4A"
2903,"VPS41"
2904,"TCTN3"
2905,"DMAC2"
2906,"FDX1"
2907,"PSMG1"
2908,"NFYC"
2909,"SDR39U1"
2910,"MX2"
2911,"HELZ2"
2912,"WBP4"
2913,"RPS6KA5"
2914,"GLRX3"
2915,"ARL5B"
2916,"ETF1"
2917,"SLC35A1"
2918,"SZRD1"
2919,"TMED9"
2920,"TWF2"
2921,"C22orf39"
2922,"PARP11"
2923,"ARAP2"
2924,"HDAC3"
2925,"MIEN1"
2926,"NOLC1"
2927,"RUVBL2"
2928,"BOLA3"
2929,"MLLT3"
2930,"MRPL37"
2931,"MTMR6"
2932,"VAMP4"
2933,"HIST1H4H"
2934,"PPM1A"
2935,"PRR14"
2936,"CCPG1"
2937,"CGRRF1"
2938,"CMTR2"
2939,"ELP2"
2940,"MFSD11"
2941,"CD44"
2942,"NSUN5"
2943,"TMEM50A"
2944,"SEC22B"
2945,"SMPDL3A"
2946,"UPF2"
2947,"SLC25A26"
2948,"SMAGP"
2949,"TRAM1"
2950,"FBXO34"
2951,"LILRA5"
2952,"MAP2K3"
2953,"PLK3"
2954,"NDUFC2"
2955,"DDB1"
2956,"TRIM4"
2957,"TBCA"
2958,"DDT"
2959,"CDK5RAP1"
2960,"VSIR"
2961,"MRPL12"
2962,"BCL10"
2963,"DECR1"
2964,"TMEM199"
2965,"CASP3"
2966,"BAG1"
2967,"GNL1"
2968,"TMEM176A"
2969,"PSMC3"
2970,"NAMPT"
2971,"HNRNPM"
2972,"METTL18"
2973,"PECAM1"
2974,"SNRNP48"
2975,"MRPL23"
2976,"BAK1"
2977,"GNB5"
2978,"TSPYL2"
2979,"INSIG2"
2980,"SHARPIN"
2981,"GTF2H5"
2982,"PSME1"
2983,"SDHAF3"
2984,"PARP8"
2985,"ABCG1"
2986,"RPL8"
2987,"GSN"
2988,"PIN4"
2989,"ZFAND1"
2990,"RPF2"
2991,"DCUN1D5"
2992,"SEC14L1"
2993,"TMEM218"
2994,"TOLLIP"
2995,"NOP16"
2996,"PSMC1"
2997,"CXorf21"
2998,"ZNF581"
2999,"ETV7"
3000,"ST13"
