gene,rank
GABARAPL2,778
PRPF38B,779
C4orf3,780
ARL6IP1,781
NSMCE1,782
SUMO2,783
RPS15,784
BATF,785
SRP14,786
MX1,787
CSDE1,788
SNHG7,789
SRSF8,790
ATP5F1B,791
GDI2,792
BUD23,793
TSPO,794
GBP4,795
HMGA1,796
MBP,797
VAPA,798
SATB1,799
SUPT4H1,800
EDF1,801
BANF1,802
LGMN,803
ATP5MG,804
CHD1,805
TUFM,806
BZW1,807
AOAH,808
GZMM,809
MYL12B,810
AP1S2,811
NSD3,812
ENSA,813
WIPF1,814
GATA3,815
SC5D,816
RPA3,817
PSMB1,818
PCBP2,819
PCNP,820
TRIR,821
CRBN,822
THRAP3,823
GNG5,824
RPL15,825
LY9,826
ZC3H15,827
SF1,828
ELF1,829
HLA-C,830
SNRPD1,831
SMCHD1,832
HNRNPM,833
ATRAID,834
RTN4,835
OST4,836
PSMA2,837
MRPL57,838
PDCD6,839
HIST1H1C,840
MPHOSPH8,841
LYAR,842
EIF3I,843
MAGOH,844
GADD45GIP1,845
SQOR,846
SRP9,847
CCT2,848
NCOR1,849
SIVA1,850
PIM2,851
C7orf50,852
POMP,853
IGFBP7,854
MAX,855
DNAJC8,856
NUCB2,857
PDCL3,858
GYPC,859
HDDC2,860
SNRPC,861
ODF2L,862
RPLP1,863
EIF3L,864
PPM1K,865
ACTR3,866
ARL6IP4,867
NCOA4,868
TBCC,869
PSMB6,870
NOL7,871
CFLAR,872
PCF11,873
ARHGEF1,874
CCT5,875
HAX1,876
ATP5F1D,877
SRI,878
TRAPPC1,879
LACTB,880
CKLF,881
PPP1R15A,882
PHLDA1,883
TUBA1A,884
PSIP1,885
XRCC5,886
ACP1,887
MAP1LC3B,888
MEAF6,889
CHMP4A,890
LUC7L3,891
TPR,892
SEC11A,893
ATP5IF1,894
RPL8,895
MOB1A,896
LAPTM4A,897
MAT2B,898
ATP5PD,899
EIF4G2,900
NDUFB2,901
TMED9,902
SAMD9,903
RBM17,904
MTDH,905
NDUFB11,906
TRAM1,907
KRAS,908
TAX1BP1,909
PBXIP1,910
NDUFAB1,911
FAM96B,912
PSMB3,913
YWHAH,914
COX6C,915
RPA2,916
PFDN2,917
SP110,918
UXT,919
EIF3G,920
HSPA6,921
ATF4,922
RPL7L1,923
UBE2D2,924
LSM14A,925
C12orf57,926
NAMPT,927
RHOG,928
DSTN,929
GRAP2,930
IL4I1,931
UGP2,932
CYLD,933
IFNGR2,934
G3BP2,935
GHITM,936
GIMAP2,937
SS18L2,938
GNG2,939
VDAC2,940
DNAJC1,941
EPB41L4A-AS1,942
ATP5PF,943
GPSM3,944
SLC38A1,945
ATP6AP2,946
RPS24,947
PSMD4,948
COX6A1,949
GABARAPL1,950
CYSTM1,951
SVIP,952
DDX6,953
BLOC1S2,954
GSPT1,955
LAMTOR5,956
VDAC3,957
UBE2I,958
PRELID1,959
METTL9,960
N4BP2L2,961
MYDGF,962
IMPDH2,963
LILRB4,964
CAP1,965
NBDY,966
SELENOH,967
CCT6A,968
TPM3,969
KDELR2,970
ORMDL1,971
ABT1,972
NDUFC2,973
NDUFB9,974
DAZAP2,975
TMED2,976
SNRPA1,977
APEX1,978
HERC5,979
RNF149,980
RBX1,981
AC025164.1,982
ATP5MC1,983
TRGC1,984
SCAF11,985
IFI30,986
MRPL32,987
FBL,988
DCXR,989
MT-CO1,990
PDCD2,991
LSM2,992
EAPP,993
RBBP7,994
BUD31,995
EIF2S1,996
DBI,997
MKRN1,998
PRNP,999
SAT2,1000
NDUFAF3,1001
RPL36AL,1002
CDC26,1003
WDR74,1004
CMTM6,1005
GRB2,1006
NDUFA5,1007
JAML,1008
PSMA1,1009
BBX,1010
EIF4A3,1011
SLBP,1012
PPP4C,1013
EPSTI1,1014
CAST,1015
CNPY2,1016
PGAM1,1017
AC245297.3,1018
ATG3,1019
TMEM230,1020
PPP1CC,1021
NDUFB10,1022
SRSF9,1023
COPE,1024
MED4,1025
POLR3GL,1026
MRPL34,1027
IFI44L,1028
SF3B6,1029
HIGD2A,1030
SETD2,1031
PLIN2,1032
BCAP31,1033
HVCN1,1034
RPL26,1035
SF3B1,1036
STRAP,1037
CIR1,1038
OSTC,1039
CCDC59,1040
MDH2,1041
CCT7,1042
CMTM8,1043
PCMT1,1044
FKBP1A,1045
EIF4A1,1046
NOSIP,1047
DNTTIP2,1048
CCNG1,1049
DNAJB9,1050
COPZ1,1051
ASAH1,1052
FAM107B,1053
LMAN2,1054
SRSF10,1055
WDR83OS,1056
ATP1A1,1057
TMBIM4,1058
UQCR11,1059
TMEM14B,1060
PSMC5,1061
MRPL51,1062
FKBP11,1063
CWC15,1064
COX14,1065
FOS,1066
TMCO1,1067
AKIRIN1,1068
CDC42,1069
FOXP1,1070
SDHD,1071
UQCRFS1,1072
ZNHIT3,1073
CHMP5,1074
CAMLG,1075
RNF7,1076
EIF1B,1077
HSBP1,1078
UQCR10,1079
RPS19BP1,1080
SEPT1,1081
PYHIN1,1082
PSMB8-AS1,1083
PRKCH,1084
SH3BGRL,1085
HSPA9,1086
EMC4,1087
SYTL3,1088
BCLAF1,1089
UBE2L3,1090
DEK,1091
SELENOW,1092
APOBEC3C,1093
MZT2A,1094
WHAMM,1095
AKR1B1,1096
RPN2,1097
EIF6,1098
COPS6,1099
SMIM25,1100
BLOC1S4,1101
ARL4C,1102
SNRPE,1103
UCP2,1104
SARS,1105
MINOS1,1106
RHEB,1107
FEZ1,1108
TSC22D1,1109
SNX2,1110
TOMM22,1111
CCNDBP1,1112
EMC7,1113
FAM162A,1114
PPP1CA,1115
LAMTOR1,1116
MRPS18B,1117
HMGN3,1118
PSMD8,1119
NGDN,1120
TTC39C,1121
CNIH1,1122
SF3B2,1123
RSBN1L,1124
COX7A2,1125
SDHC,1126
BAX,1127
NFE2L2,1128
PHF11,1129
TCEA1,1130
NDUFA6,1131
RASSF5,1132
MZT2B,1133
ERGIC2,1134
YTHDF2,1135
CA2,1136
UBXN4,1137
RHBDD2,1138
VPS28,1139
HLA-E,1140
PRKAR1A,1141
IL23A,1142
PSMB2,1143
PTP4A1,1144
RNF114,1145
OFD1,1146
SNRPG,1147
RBCK1,1148
EIF4H,1149
PRRC2C,1150
GNL3,1151
CLTA,1152
TAPBP,1153
TMEM160,1154
FKBP2,1155
OCIAD1,1156
RNASEH2C,1157
HIF1A,1158
UQCRQ,1159
SCAND1,1160
DDX21,1161
PRDX2,1162
AREG,1163
FAM49B,1164
MSL3,1165
SSU72,1166
RAB10,1167
CLU,1168
ICOS,1169
SH2D1B,1170
PDE4DIP,1171
PDCD5,1172
RABGAP1L,1173
ADSS,1174
IK,1175
KIAA1551,1176
NKTR,1177
IFI6,1178
ZC3HAV1,1179
NAA20,1180
FCMR,1181
STUB1,1182
NAGK,1183
NMI,1184
SYAP1,1185
CAMK4,1186
COX5B,1187
UBE2N,1188
TBCA,1189
ATP5PB,1190
AL118516.1,1191
RILPL2,1192
POLE4,1193
RAP1A,1194
MS4A6A,1195
POLR2C,1196
OSTF1,1197
ATP5F1E,1198
OSBPL8,1199
HCLS1,1200
COX6B1,1201
LAMTOR2,1202
ANAPC11,1203
OSER1,1204
POLR2J3,1205
PRKX,1206
NDUFB4,1207
C19orf70,1208
CLNS1A,1209
TMEM109,1210
PPP2CA,1211
ZNRD1,1212
PSMD6,1213
MRPL20,1214
PSMA3,1215
DCK,1216
PSMD7,1217
VPS29,1218
TNFAIP3,1219
IGBP1,1220
RBM3,1221
CHURC1,1222
RTF1,1223
PITPNC1,1224
SMC4,1225
EXOSC1,1226
YY1,1227
PSMD13,1228
POLR2K,1229
SNRPB2,1230
BSG,1231
DMAC1,1232
VPS37B,1233
PPCS,1234
FAM133B,1235
UQCRC2,1236
CWC25,1237
SNX10,1238
LAMTOR4,1239
THUMPD3-AS1,1240
LCP1,1241
ARRB2,1242
TAF15,1243
POLR1D,1244
LSM3,1245
RPL41,1246
LPXN,1247
HBP1,1248
TRAPPC4,1249
EMB,1250
EIF4EBP1,1251
CYC1,1252
NOP56,1253
ENY2,1254
TAF9,1255
BEX3,1256
PAXX,1257
DPM1,1258
RAB7A,1259
AKAP13,1260
BRIX1,1261
PRPF40A,1262
MITD1,1263
POLR2L,1264
LSM4,1265
NXT1,1266
BLOC1S1,1267
ATP5F1C,1268
PSMG2,1269
SLC25A37,1270
LRPAP1,1271
UBL5,1272
CAPZB,1273
MT-ND3,1274
EIF2AK2,1275
TMED10,1276
ATP5MD,1277
MT-CO2,1278
TMEM147,1279
RAD23A,1280
AP2M1,1281
MORF4L2,1282
METTL26,1283
TIMM13,1284
S1PR5,1285
TOMM20,1286
GSTK1,1287
KLF3,1288
BIRC2,1289
DDOST,1290
MSN,1291
SNX9,1292
LRRFIP1,1293
RNF5,1294
IVNS1ABP,1295
BCL2A1,1296
GGNBP2,1297
SMIM26,1298
C9orf16,1299
TBCB,1300
CGGBP1,1301
ARF4,1302
NUB1,1303
ADRM1,1304
TSR2,1305
NDUFB7,1306
NT5C3A,1307
NECAP2,1308
ATP5MPL,1309
SH2D1A,1310
IDS,1311
SNRPD3,1312
COX7B,1313
LSM10,1314
TBC1D10C,1315
KLF10,1316
MMADHC,1317
DDX3X,1318
KHDRBS1,1319
HBA2,1320
WASF2,1321
NARS,1322
NDUFB5,1323
MED28,1324
SELENOS,1325
RAB11A,1326
MPHOSPH10,1327
ANXA7,1328
MRPL41,1329
HNRNPH3,1330
REEP5,1331
CCND3,1332
SAMD9L,1333
SRP19,1334
SMIM14,1335
CALR,1336
SLC39A8,1337
PHF5A,1338
ABRACL,1339
IFI35,1340
GGA2,1341
NDUFA11,1342
U2SURP,1343
ARHGAP9,1344
CD79B,1345
EPC1,1346
PSMB7,1347
CD9,1348
RNF167,1349
THYN1,1350
PSMB5,1351
HP1BP3,1352
ZNF428,1353
EIF3J,1354
ABI3,1355
KLRG1,1356
M6PR,1357
FAM32A,1358
PDHB,1359
MPLKIP,1360
GABPB1-AS1,1361
GTF2A2,1362
CARD19,1363
MRPL9,1364
SPSB3,1365
CPNE1,1366
WDR33,1367
RAB5C,1368
NR1H2,1369
RNASEH2B,1370
SRSF4,1371
NRGN,1372
LBR,1373
ANAPC5,1374
SSR3,1375
TUSC2,1376
SDHA,1377
CHPT1,1378
PRDX4,1379
PPP1CB,1380
ITGAE,1381
HTATIP2,1382
NDUFS8,1383
SNX17,1384
ATRX,1385
MRPS7,1386
ELOB,1387
PPP1R11,1388
NDUFB6,1389
TRA2B,1390
NUDT5,1391
PSMC4,1392
TMEM9B,1393
C19orf66,1394
SERF2,1395
AC133644.2,1396
STX11,1397
SSNA1,1398
MAF1,1399
AP2S1,1400
DPY30,1401
NDUFA2,1402
EIF3D,1403
SERTAD1,1404
MRPS33,1405
PPIE,1406
NDUFS6,1407
FBXO7,1408
FUS,1409
IRF3,1410
AKR1C3,1411
SNW1,1412
ERG28,1413
RPS9,1414
UBQLN2,1415
VASP,1416
IDH2,1417
DHX36,1418
SLA,1419
KLHDC2,1420
EMC6,1421
RNF181,1422
CHMP1B,1423
LSM1,1424
CDC42SE1,1425
MRPS21,1426
SH3GLB1,1427
PTP4A2,1428
SUCLG1,1429
MRPS12,1430
ZNF22,1431
NSFL1C,1432
ZFAND6,1433
CYBB,1434
MFNG,1435
RNF213,1436
CD40,1437
OTUD6B-AS1,1438
IER3,1439
TSPAN13,1440
HOXB2,1441
MGAT4A,1442
TRADD,1443
POLR2G,1444
LPAR6,1445
FNBP1,1446
ATM,1447
DUSP11,1448
SNRPF,1449
PTPN4,1450
C14orf119,1451
DDT,1452
GLIPR2,1453
