avg_log2fc,cluster,gene,p_adj,p_value,pct_1,pct_2
0.725812227757356,2,PPIL4,0.0000000020612829267537456,0.000000000056276761029039335,0.12667261373773417,0.04553255194070179
0.7170446364027633,2,PPHLN1,0.000000002839037608178988,0.00000000007771272514389693,0.15566458519179305,0.07726293496914595
0.5758266869627151,2,MORF4L1,0.0000000033255544662319014,0.00000000009126654987312577,0.3046387154326494,0.24942490962865593
0.5290846244230691,2,CSDE1,0.000000003569364054968766,0.00000000009821143898136597,0.288135593220339,0.22302552305838536
0.48254373110650217,2,NOP10,0.000000003728495845400914,0.00000000010285505780416315,0.40544157002676184,0.3713440683535984
0.7640150061751855,2,PPP4R3B,0.0000000038424684856381455,0.00000000010627232427395938,0.13782337198929528,0.05871398838865155
0.47355983497565424,2,SEC61B,0.000000004066813273604307,0.00000000011276624078959685,0.3942908117752007,0.3592215284624092
0.8540655443953529,2,YME1L1,0.000000004408399152968355,0.00000000012255130243943313,0.12934879571810884,0.05090006207324643
0.7585159333282062,2,LLPH,0.000000004780986547701955,0.0000000001332489674155113,0.18465655664585193,0.1118778982729032
0.5892086740986535,2,EMC7,0.000000004911194459310691,0.00000000013722711855734815,0.252007136485281,0.1869865264541571
0.6698314884104599,2,TOMM20,0.000000005539241614745109,0.00000000015516965490292023,0.17172167707404104,0.09555628582904298
0.7992785777496699,2,DDX3X,0.000000006172046884829843,0.00000000017333512403183704,0.20428189116859946,0.1371818746120422
0.7473751036970249,2,GGNBP2,0.000000006544650629517176,0.00000000018426460357545693,0.15700267618198038,0.08076824770876694
0.6007082023297001,2,SS18L2,0.000000006611614714990972,0.00000000018662005274450166,0.22613737734165923,0.15605944426187607
0.6073298729909686,2,SF1,0.000000007120963143547375,0.00000000020150325852341666,0.21944692239072258,0.14853762734143938
0.7481540702770401,2,RNF145,0.000000007391439279071353,0.00000000020968249359043512,0.15165031222123104,0.07602147004053018
0.738951566406312,2,ZNF207,0.000000007746353419824104,0.0000000002203015547763698,0.1904549509366637,0.12060466644758462
0.5941396400939541,2,SNHG7,0.000000008856102844694668,0.00000000025249180524156145,0.1641391614629795,0.0856610800744879
0.6786531008191279,2,ZNRD1,0.00000000903892044131622,0.0000000002583466773842247,0.17305976806422838,0.09727242852448242
0.41996952982515134,2,ATP6V1G1,0.000000009950184767662111,0.00000000028509949956401215,0.5142729705619982,0.5111914411947275
0.7584626731201212,2,SRSF8,0.000000010189523518124173,0.0000000002926816566883872,0.1601248884924175,0.08372585533282215
0.8042883498856191,2,HIST1H1C,0.000000010805500889116754,0.00000000031114311127566907,0.13157894736842105,0.053784642348559536
0.7087534908320053,2,TAF9,0.000000011291144685898757,0.0000000003259299496960466,0.20026761819803746,0.1329462883850002
0.5123844100090524,2,FAM96B,0.000000011341757905940845,0.0000000003286504401955881,0.33006244424620873,0.28246978493445796
